Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A)
0,46.74,3.1446e-05,0.02,0
0.938,46.74,-2.9455e-05,0,0
1.813,46.74,0.00013706,0.02,0.1
2.672,46.74,-2.9372e-05,0,0.1
3.625,46.74,0.00013746,0.02,0.2
4.485,46.74,-2.9028e-05,0,0.2
5.36,46.74,0.00013762,0.02,0.3
6.172,46.74,-2.8944e-05,0,0.3
7.016,46.74,0.00013768,0.02,0.4
7.86,46.75,-2.9121e-05,0,0.4
8.704,46.75,0.00013794,0.02,0.5
9.672,46.75,-2.8903e-05,0,0.5
10.516,46.75,0.00013796,0.02,0.6
11.36,46.75,-2.9059e-05,0,0.6
12.204,46.75,0.00013807,0.02,0.7
13.063,46.75,-2.9048e-05,0,0.7
14.047,46.75,0.00013812,0.02,0.8
14.891,46.75,-2.9007e-05,0,0.8
15.735,46.75,0.00013844,0.02,0.9
16.579,46.75,-2.8819e-05,0,0.9
17.532,46.75,0.00013854,0.02,1
18.375,46.75,-2.8955e-05,0,1
19.235,46.75,0.00013866,0.02,1.1
20.063,46.75,-2.8996e-05,0,1.1
21.063,46.75,0.00013837,0.02,1.2
21.938,46.76,-2.8871e-05,0,1.2
22.782,46.76,0.0001388,0.02,1.3
23.766,46.75,-2.8788e-05,0,1.3
24.625,46.75,0.00013848,0.02,1.4
25.454,46.76,-2.8996e-05,0,1.4
26.313,46.76,0.00013877,0.02,1.5
27.172,46.76,-2.885e-05,0,1.5
28.094,46.76,0.00013895,0.02,1.6
28.938,46.76,-2.8621e-05,0,1.6
29.797,46.76,0.00013888,0.02,1.7
30.625,46.76,-2.8433e-05,0,1.7
31.485,46.76,0.00013918,0.02,1.8
32.454,46.76,-2.8559e-05,0,1.8
33.266,46.76,0.00013894,0.02,1.9
34.11,46.76,-2.8298e-05,0,1.9
34.969,46.76,0.00013928,0.02,2
35.797,46.76,-2.8798e-05,0,2
36.625,46.76,0.00013927,0.02,2.1
37.594,46.76,-2.8308e-05,0,2.1
38.422,46.76,0.00013915,0.02,2.2
39.25,46.77,-2.8423e-05,0,2.2
40.11,46.77,0.00013921,0.02,2.3
40.938,46.76,-2.8903e-05,0,2.3
41.907,46.77,0.00013915,0.02,2.4
42.735,46.77,-2.8652e-05,0,2.4
43.594,46.77,0.00013936,0.02,2.5
44.422,46.77,-2.8757e-05,0,2.5
45.25,46.77,0.000139,0.02,2.6
46.079,46.77,-2.8506e-05,0,2.6
47.079,46.77,0.00013954,0.02,2.7
47.907,46.77,-2.8256e-05,0,2.7
48.735,46.77,0.00013936,0.02,2.8
49.563,46.77,-2.8506e-05,0,2.8
50.422,46.77,0.00013884,0.02,2.9
51.391,46.77,-2.8256e-05,0,2.9
52.25,46.77,0.00013931,0.02,3
53.079,46.77,-2.9101e-05,0,3
