Time(sec),TempRes(Ohm),SampVolt(V),heat_current(A),coil_current_order(A), sample_current_order(A)
15.204,36.15,-1.4267e-06,0.1,1,0.5
15.25,36.15,-1.0648e-06,0.1,1,0.5
15.313,36.15,4.6923e-06,0.1,1,0.5
15.36,36.15,4.698e-06,0.1,1,0.5
15.407,36.15,4.7482e-06,0.1,1,0.5
15.454,36.15,4.4091e-06,0.1,1,0.5
15.516,36.15,5.7662e-06,0.1,1,0.5
15.563,36.15,4.7285e-06,0.1,1,0.5
15.61,36.15,4.9043e-06,0.1,1,0.5
15.657,36.15,4.9737e-06,0.1,1,0.5
15.719,36.15,4.5849e-06,0.1,1,0.5
15.766,36.15,5.2431e-06,0.1,1,0.5
15.813,36.15,5.5331e-06,0.1,1,0.5
15.875,36.15,4.5872e-06,0.1,1,0.5
15.922,36.15,4.7848e-06,0.1,1,0.5
15.969,36.15,5.4097e-06,0.1,1,0.5
16.016,36.15,4.9791e-06,0.1,1,0.5
16.079,36.15,4.1202e-06,0.1,1,0.5
16.125,36.15,5.0948e-06,0.1,1,0.5
16.172,36.15,5.0814e-06,0.1,1,0.5
16.219,36.15,4.5653e-06,0.1,1,0.5
16.282,36.15,4.4727e-06,0.1,1,0.5
16.329,36.15,5.3938e-06,0.1,1,0.5
16.375,36.15,5.0235e-06,0.1,1,0.5
16.422,36.15,4.9082e-06,0.1,1,0.5
16.485,36.15,4.0526e-06,0.1,1,0.5
16.532,36.15,4.7522e-06,0.1,1,0.5
16.579,36.15,5.176e-06,0.1,1,0.5
16.625,36.15,3.9092e-06,0.1,1,0.5
16.688,36.15,4.674e-06,0.1,1,0.5
16.735,36.15,5.1338e-06,0.1,1,0.5
16.782,36.15,4.402e-06,0.1,1,0.5
16.844,36.15,4.3582e-06,0.1,1,0.5
16.891,36.15,4.9476e-06,0.1,1,0.5
16.938,36.15,4.4769e-06,0.1,1,0.5
16.985,36.15,4.1929e-06,0.1,1,0.5
17.047,36.15,5.0957e-06,0.1,1,0.5
17.094,36.15,5.888e-06,0.1,1,0.5
17.141,36.15,4.732e-06,0.1,1,0.5
17.188,36.15,4.8742e-06,0.1,1,0.5
17.25,36.15,4.6855e-06,0.1,1,0.5
17.297,36.15,5.1093e-06,0.1,1,0.5
17.344,36.15,4.7827e-06,0.1,1,0.5
17.407,36.15,4.9557e-06,0.1,1,0.5
17.454,36.15,4.2826e-06,0.1,1,0.5
17.5,36.15,4.9507e-06,0.1,1,0.5
17.547,36.15,5.2722e-06,0.1,1,0.5
17.61,36.15,5.1244e-06,0.1,1,0.5
17.657,36.15,4.3532e-06,0.1,1,0.5
17.704,36.15,4.2401e-06,0.1,1,0.5
17.766,36.15,4.6748e-06,0.1,1,0.5
17.813,36.15,4.6261e-06,0.1,1,0.5
17.86,36.15,4.8193e-06,0.1,1,0.5
17.907,36.15,4.7677e-06,0.1,1,0.5
17.969,36.15,5.1291e-06,0.1,1,0.5
18.016,36.15,4.2075e-06,0.1,1,0.5
18.063,36.15,5.2926e-06,0.1,1,0.5
18.11,36.15,4.2795e-06,0.1,1,0.5
18.172,36.15,4.9815e-06,0.1,1,0.5
18.219,36.15,3.548e-06,0.1,1,0.5
18.266,36.15,4.5424e-06,0.1,1,0.5
18.313,36.15,5.3724e-06,0.1,1,0.5
18.375,36.15,4.3875e-06,0.1,1,0.5
18.422,36.15,4.4281e-06,0.1,1,0.5
18.469,36.15,4.1066e-06,0.1,1,0.5
18.532,36.15,3.9123e-06,0.1,1,0.5
