Time(sec),TempRes(Ohm),SampVolt(V),heat_current(A),coil_current_order(A), sample_current_order(A)
128.74,47.05,0.0025179,0.14,0.45,0.46429
128.8,47.05,0.0025234,0.14,0.45,0.5
129,47.04,0.0032944,0.14,0.525,0
129.05,47.04,0.0034081,0.14,0.525,0.035714
129.11,47.04,0.0035485,0.14,0.525,0.071429
129.16,47.04,1.0719e-07,0.14,0.525,0.10714
129.2,47.04,-2.5456e-05,0.14,0.525,0.14286
129.27,47.04,0.00023015,0.14,0.525,0.17857
129.52,47.04,0.0009925,0.14,0.525,0.21429
129.58,47.04,0.0012467,0.14,0.525,0.25
129.63,47.04,0.0012931,0.14,0.525,0.28571
129.69,47.04,0.0015013,0.14,0.525,0.32143
129.74,47.04,0.0017558,0.14,0.525,0.35714
129.8,47.04,0.001757,0.14,0.525,0.39286
129.84,47.04,0.0020075,0.14,0.525,0.42857
130.11,47.04,0.0027769,0.14,0.525,0.46429
130.16,47.04,0.0030322,0.14,0.525,0.5
130.36,47.02,0.0035453,0.14,0.6,0
130.42,47.02,0.0020485,0.14,0.6,0.035714
130.47,47.02,-2.4827e-05,0.14,0.6,0.071429
130.53,47.02,0.0002293,0.14,0.6,0.10714
130.58,47.02,0.00023882,0.14,0.6,0.14286
130.64,47.02,0.00048283,0.14,0.6,0.17857
130.69,47.02,0.00073702,0.14,0.6,0.21429
130.74,47.02,0.00073845,0.14,0.6,0.25
130.8,47.02,0.00099177,0.14,0.6,0.28571
131.06,47.02,0.001757,0.14,0.6,0.32143
131.11,47.02,0.0020102,0.14,0.6,0.35714
131.16,47.02,0.0020101,0.14,0.6,0.39286
131.22,47.02,0.0022652,0.14,0.6,0.42857
131.27,47.02,0.0025169,0.14,0.6,0.46429
131.33,47.02,0.0025196,0.14,0.6,0.5
131.63,47.01,0.0035418,0.14,0.675,0
131.67,47.01,0.0035425,0.14,0.675,0.035714
131.74,47.01,-2.2153e-05,0.14,0.675,0.071429
131.78,47.01,-2.403e-05,0.14,0.675,0.10714
131.83,47.01,0.00022879,0.14,0.675,0.14286
131.89,47.01,0.00048242,0.14,0.675,0.17857
131.94,47.01,0.00048269,0.14,0.675,0.21429
132,47.01,0.00073754,0.14,0.675,0.25
132.25,47.01,0.0014992,0.14,0.675,0.28571
132.31,47.01,0.0017548,0.14,0.675,0.32143
132.36,47.01,0.0018053,0.14,0.675,0.35714
132.42,47.01,0.0020087,0.14,0.675,0.39286
132.47,47.01,0.002261,0.14,0.675,0.42857
132.52,47.01,0.0022635,0.14,0.675,0.46429
132.58,47.01,0.0025185,0.14,0.675,0.5
132.84,47.01,0.0032857,0.14,0.75,0
132.89,47.01,0.0035376,0.14,0.75,0.035714
132.94,47.01,0.0032331,0.14,0.75,0.071429
133,47.01,-2.4147e-05,0.14,0.75,0.10714
133.05,47.01,0.00021622,0.14,0.75,0.14286
133.11,47.01,0.0002291,0.14,0.75,0.17857
133.16,47.01,0.00048213,0.14,0.75,0.21429
133.42,47.01,0.0012449,0.14,0.75,0.25
133.49,47.01,0.0014982,0.14,0.75,0.28571
133.53,47.01,0.0015475,0.14,0.75,0.32143
133.58,47.01,0.0017541,0.14,0.75,0.35714
133.64,47.01,0.0020037,0.14,0.75,0.39286
133.69,47.01,0.0020073,0.14,0.75,0.42857
133.74,47.01,0.0022618,0.14,0.75,0.46429
134,47.01,0.0030243,0.14,0.75,0.5
134.33,46.99,0.0035365,0.14,0.825,0
134.38,46.99,0.003536,0.14,0.825,0.035714
134.42,46.99,-2.3293e-05,0.14,0.825,0.071429
134.49,46.99,7.6136e-05,0.14,0.825,0.10714
134.53,46.99,0.000229,0.14,0.825,0.14286
134.59,46.99,0.00048058,0.14,0.825,0.17857
134.64,46.99,0.00048428,0.14,0.825,0.21429
134.69,46.99,0.00073644,0.14,0.825,0.25
134.75,46.99,0.00090635,0.14,0.825,0.28571
135.03,46.99,0.0017516,0.14,0.825,0.32143
135.09,46.99,0.0020046,0.14,0.825,0.35714
135.14,46.99,0.0020531,0.14,0.825,0.39286
135.19,46.99,0.0022592,0.14,0.825,0.42857
135.25,46.99,0.0025094,0.14,0.825,0.46429
135.3,46.99,0.0025125,0.14,0.825,0.5
135.5,46.97,0.0032794,0.14,0.9,0
135.56,46.97,0.0033583,0.14,0.9,0.035714
135.61,46.97,0.0035336,0.14,0.9,0.071429
135.67,46.97,-9.7033e-06,0.14,0.9,0.10714
135.72,46.97,-2.4429e-05,0.14,0.9,0.14286
135.77,46.97,0.00022862,0.14,0.9,0.17857
136.03,46.97,0.00098923,0.14,0.9,0.21429
136.09,46.97,0.0012422,0.14,0.9,0.25
136.14,46.97,0.0012427,0.14,0.9,0.28571
136.19,46.97,0.0014945,0.14,0.9,0.32143
136.25,46.97,0.0017463,0.14,0.9,0.35714
136.3,46.97,0.0017504,0.14,0.9,0.39286
136.36,46.97,0.0020026,0.14,0.9,0.42857
136.63,46.97,0.002765,0.14,0.9,0.46429
136.67,46.97,0.0030171,0.14,0.9,0.5
136.88,46.97,0.0035299,0.14,0.975,0
136.94,46.97,0.0020868,0.14,0.975,0.035714
136.99,46.97,-2.4127e-05,0.14,0.975,0.071429
137.03,46.97,0.00022801,0.14,0.975,0.10714
137.09,46.97,0.00023084,0.14,0.975,0.14286
137.14,46.97,0.00048143,0.14,0.975,0.17857
137.2,46.97,0.00073329,0.14,0.975,0.21429
137.25,46.97,0.00073509,0.14,0.975,0.25
137.3,46.97,0.00098825,0.14,0.975,0.28571
137.56,46.97,0.0017481,0.14,0.975,0.32143
137.63,46.97,0.0020005,0.14,0.975,0.35714
137.67,46.97,0.0020004,0.14,0.975,0.39286
137.74,46.97,0.0022552,0.14,0.975,0.42857
137.78,46.97,0.0025072,0.14,0.975,0.46429
137.83,46.97,0.0025079,0.14,0.975,0.5
138.09,46.95,0.0033131,0.14,1.05,0
138.14,46.95,0.0035857,0.14,1.05,0.035714
138.2,46.95,-2.0904e-05,0.14,1.05,0.071429
138.25,46.95,-2.5259e-05,0.14,1.05,0.10714
138.31,46.95,0.00022808,0.14,1.05,0.14286
138.36,46.95,0.00035462,0.14,1.05,0.17857
138.41,46.95,0.00048019,0.14,1.05,0.21429
138.47,46.95,0.00073346,0.14,1.05,0.25
138.74,46.95,0.0014919,0.14,1.05,0.28571
138.78,46.95,0.0017461,0.14,1.05,0.32143
138.84,46.95,0.0017457,0.14,1.05,0.35714
138.89,46.95,0.0019989,0.14,1.05,0.39286
138.94,46.95,0.0022396,0.14,1.05,0.42857
139,46.95,0.0022525,0.14,1.05,0.46429
139.05,46.95,0.002506,0.14,1.05,0.5
139.31,46.95,0.0032674,0.14,1.125,0
139.38,46.95,0.0035206,0.14,1.125,0.035714
139.42,46.95,0.0034049,0.14,1.125,0.071429
139.47,46.95,-2.4e-05,0.14,1.125,0.10714
139.53,46.95,0.00020243,0.14,1.125,0.14286
139.58,46.95,0.00022764,0.14,1.125,0.17857
139.64,46.95,0.00047964,0.14,1.125,0.21429
139.91,46.95,0.0012379,0.14,1.125,0.25
139.95,46.95,0.00149,0.14,1.125,0.28571
140.02,46.95,0.0015275,0.14,1.125,0.32143
140.06,46.95,0.0017436,0.14,1.125,0.35714
140.11,46.95,0.0019389,0.14,1.125,0.39286
140.16,46.95,0.0019954,0.14,1.125,0.42857
140.22,46.95,0.0022494,0.14,1.125,0.46429
140.49,46.95,0.0030076,0.14,1.125,0.5
140.8,46.93,0.0035149,0.14,1.2,0
140.86,46.93,0.0035155,0.14,1.2,0.035714
