Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A)
0.25,95.33,-0.0092577,0.5,0
1.141,95.3,-0.0092543,0.5,0
1.938,95.28,-0.0092536,0.5,0
2.734,95.24,-0.0092519,0.5,0
3.563,95.22,-0.0092502,0.5,0
4.344,95.19,-0.0092472,0.5,0
5.188,95.17,-0.0092455,0.5,0
5.891,95.13,-0.0092426,0.5,0
6.609,95.1,-0.0092413,0.5,0
7.391,95.08,-0.0092397,0.5,0
8.234,95.04,-0.0092378,0.5,0
9.063,95.02,-0.009236,0.5,0
9.891,94.99,-0.0092331,0.5,0
10.688,94.97,-0.0092314,0.5,0
11.516,94.93,-0.0092288,0.5,0
12.344,94.91,-0.0092268,0.5,0
13.141,94.88,-0.0092245,0.5,0
13.922,94.84,-0.0092233,0.5,0
14.75,94.82,-0.0092205,0.5,0
15.578,94.79,-0.0092185,0.5,0
16.375,94.77,-0.0092163,0.5,0
17.203,94.73,-0.0092137,0.5,0
18,94.71,-0.009212,0.5,0
18.828,94.69,-0.0092097,0.5,0
19.656,94.66,-0.0092073,0.5,0
20.453,94.62,-0.0092058,0.5,0
21.234,94.6,-0.009202,0.5,0
22.078,94.57,-0.009201,0.5,0
22.906,94.53,-0.0091983,0.5,0
23.688,94.5,-0.0091948,0.5,0
24.531,94.47,-0.0091925,0.5,0
25.359,94.44,-0.0091909,0.5,0
26.141,94.41,-0.009187,0.5,0
26.969,94.38,-0.009184,0.5,0
27.688,94.36,-0.0091813,0.5,0
28.406,94.31,-0.0091784,0.5,0
29.188,94.28,-0.0091755,0.5,0
30.031,94.23,-0.0091724,0.5,0
30.813,94.2,-0.0091703,0.5,0
31.641,94.16,-0.0091683,0.5,0
32.469,94.12,-0.0091657,0.5,0
33.266,94.08,-0.009163,0.5,0
34.063,94.06,-0.0091588,0.5,0
34.891,94.02,-0.0091578,0.5,0
35.719,93.98,-0.0091544,0.5,0
36.516,93.95,-0.0091526,0.5,0
37.344,93.9,-0.009151,0.5,0
38.125,93.86,-0.0091485,0.5,0
38.969,93.81,-0.0091464,0.5,0
39.75,93.77,-0.0091424,0.5,0
40.547,93.7,-0.0091401,0.5,0
41.375,93.65,-0.0091367,0.5,0
42.203,93.6,-0.009134,0.5,0
43,93.55,-0.0091296,0.5,0
43.781,93.49,-0.0091259,0.5,0
44.625,93.44,-0.0091226,0.5,0
45.453,93.38,-0.0091182,0.5,0
46.234,93.3,-0.0091143,0.5,0
47.031,93.24,-0.0091099,0.5,0
47.859,93.18,-0.0091047,0.5,0
48.688,93.13,-0.0091007,0.5,0
49.484,93.06,-0.0090956,0.5,0
50.313,92.99,-0.0090893,0.5,0
51.094,92.9,-0.0090817,0.5,0
51.969,92.83,-0.0090768,0.5,0
52.719,92.74,-0.0090709,0.5,0
53.547,92.64,-0.0090651,0.5,0
54.344,92.54,-0.0090582,0.5,0
55.219,92.43,-0.0090529,0.5,0
55.969,92.32,-0.0090466,0.5,0
56.797,92.19,-0.0090403,0.5,0
57.578,92.05,-0.0090334,0.5,0
58.422,91.91,-0.0090267,0.5,0
59.25,91.79,-0.0090204,0.5,0
60.078,91.64,-0.0090122,0.5,0
60.875,91.5,-0.0090048,0.5,0
61.656,91.35,-0.008998,0.5,0
62.484,91.21,-0.00899,0.5,0
63.328,91.07,-0.0089826,0.5,0
64.109,90.92,-0.0089739,0.5,0
64.906,90.77,-0.008966,0.5,0
65.734,90.63,-0.0089576,0.5,0
66.563,96.23,-0.0089492,0.5,0
67.438,90.29,-0.0089404,0.5,0
68.219,90.13,-0.0089321,0.5,0
69.047,89.98,-0.0089229,0.5,0
69.844,89.81,-0.0089135,0.5,0
70.672,89.66,-0.0089055,0.5,0
71.5,89.49,-0.0088948,0.5,0
72.297,89.32,-0.0088872,0.5,0
73.094,89.17,-0.0088773,0.5,0
73.922,89,-0.0088689,0.5,0
74.75,88.84,-0.0088589,0.5,0
75.547,88.65,-0.0088476,0.5,0
76.375,88.49,-0.0088377,0.5,0
