Time(sec),TempRes(Ohm),SampVolt(V),extCurr(A),CoilCurr(A),intCurr(A),SampCurr_order(A),intCurr_sign,extCurr_sign0.516,21.3,-7.6911e-06,-0.0010667,7,1.75,3,-1,-1
19.078,21.3,-1.0374e-05,-0.0040997,7,1.75,0,-1,-1
19.328,21.3,-1.0394e-05,-0.0041357,7,1.75,0,-1,-1
19.578,21.3,-1.0243e-05,-0.0041372,7,1.75,0,-1,-1
19.828,21.3,-9.9492e-06,-0.0041234,7,1.75,0,-1,-1
20.078,21.3,-1.0882e-05,-0.0041339,7,1.75,0,-1,-1
20.328,21.3,-9.2886e-06,-0.0041432,7,1.75,0,-1,-1
20.578,21.3,-9.0227e-06,-0.0041304,7,1.75,0,-1,-1
20.828,21.3,-9.06e-06,-0.0041328,7,1.75,0,-1,-1
21.109,21.3,-1.1314e-05,2.9945,7,1.75,3,-1,-1
21.391,21.3,-1.0029e-05,-0.0039016,7,1.75,0,-1,-1
21.641,21.3,-9.6131e-06,-0.004098,7,1.75,0,-1,-1
21.891,21.3,-1.0625e-05,-0.0041185,7,1.75,0,-1,-1
22.141,21.3,-1.0744e-05,-0.0041235,7,1.75,0,-1,-1
22.391,21.3,-1.0176e-05,-0.0041245,7,1.75,0,-1,-1
22.641,21.3,-9.9654e-06,-0.004156,7,1.75,0,-1,-1
22.891,21.3,-1.006e-05,-0.004131,7,1.75,0,-1,-1
23.141,21.3,-9.5294e-06,-0.0041582,7,1.75,0,-1,-1
23.391,21.3,-1.0477e-05,-0.0041479,7,1.75,0,-1,-1
23.672,21.3,-1.1679e-05,2.9946,7,1.75,3,-1,-1
23.953,21.3,-1.1274e-05,-0.0038603,7,1.75,0,-1,-1
24.219,21.3,-1.0192e-05,-0.0040884,7,1.75,0,-1,-1
24.469,21.3,-1.0554e-05,-0.0041123,7,1.75,0,-1,-1
24.719,21.3,-1.1252e-05,-0.0041216,7,1.75,0,-1,-1
24.984,21.3,-1.1147e-05,-0.0041271,7,1.75,0,-1,-1
25.234,21.3,-1.0768e-05,-0.0041257,7,1.75,0,-1,-1
25.484,21.3,-9.8042e-06,-0.0041342,7,1.75,0,-1,-1
25.734,21.3,-1.0241e-05,-0.0041285,7,1.75,0,-1,-1
25.984,21.3,-9.8856e-06,-0.0041405,7,1.75,0,-1,-1
