Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A)
0.281,111,0.00050345,0.03,0
1.594,111,0.00050261,0.03,0
2.453,111,0.00050272,0.03,0
3.281,111,0.00050313,0.03,0
4.078,111,0.00050184,0.03,0
4.906,111,0.00050257,0.03,0
5.734,111,0.00050286,0.03,0
6.563,111,0.00050263,0.03,0
7.344,111,0.00050211,0.03,0
8.172,111,0.00050249,0.03,0
9.016,111,0.00050232,0.03,0
9.797,111,0.00050308,0.03,0
10.594,111,0.00050196,0.03,0
11.422,111,0.00050253,0.03,0
12.25,111,0.00050273,0.03,0
12.969,111,0.00050271,0.03,0
13.672,111,0.00050214,0.03,0
14.516,111,0.00050222,0.03,0
15.297,111,0.00050322,0.03,0
16.125,111,0.00050219,0.03,0
16.922,111,0.00050223,0.03,0
17.75,111,0.00050164,0.03,0
18.578,111,0.00050227,0.03,0
19.375,111,0.00050171,0.03,0
20.172,111,0.00050087,0.03,0
21,111,0.0005019,0.03,0
21.703,110.9,0.00050146,0.03,0
22.422,110.9,0.00050157,0.03,0
23.219,110.9,0.00050175,0.03,0
24.047,110.9,0.0005023,0.03,0
24.766,110.9,0.00050264,0.03,0
25.516,110.9,0.000502,0.03,0
26.344,110.9,0.0005019,0.03,0
27.125,110.9,0.00050252,0.03,0
27.969,110.9,0.00050279,0.03,0
28.797,110.8,0.00050185,0.03,0
29.578,110.8,0.00050206,0.03,0
30.406,110.8,0.00050158,0.03,0
31.25,110.8,0.00050187,0.03,0
32.031,110.7,0.00050144,0.03,0
32.75,110.7,0.00050206,0.03,0
33.469,110.5,0.00050208,0.03,0
34.297,110.5,0.00050221,0.03,0
35.078,110.5,0.00050111,0.03,0
35.797,110.4,0.000502,0.03,0
36.516,110.4,0.00050174,0.03,0
37.297,110.4,0.00050096,0.03,0
38.125,110.3,0.00050178,0.03,0
38.922,110.3,0.00050179,0.03,0
39.75,110.2,0.00050008,0.03,0
40.578,110.2,0.00050083,0.03,0
41.375,110.2,0.00050041,0.03,0
42.172,110.1,0.00049953,0.03,0
43,110,0.00050052,0.03,0
43.781,110,0.00049915,0.03,0
44.625,110,0.00049892,0.03,0
45.375,109.9,0.00049964,0.03,0
46.078,109.8,0.00049878,0.03,0
46.844,109.8,0.00049894,0.03,0
47.672,109.7,0.00049877,0.03,0
48.5,109.7,0.00049863,0.03,0
49.281,109.5,0.00049877,0.03,0
50.125,109.5,0.00049806,0.03,0
50.906,109.4,0.00049773,0.03,0
51.734,109.4,0.000497,0.03,0
52.531,109.3,0.00049685,0.03,0
53.281,109.3,0.00049621,0.03,0
54,109.2,0.00049603,0.03,0
54.781,109.2,0.00049588,0.03,0
55.625,109,0.00049625,0.03,0
56.406,108.9,0.00049457,0.03,0
57.203,108.9,0.00049409,0.03,0
58.031,108.8,0.00049415,0.03,0
58.859,108.8,0.00049436,0.03,0
59.656,108.7,0.00049448,0.03,0
60.438,108.5,0.00049229,0.03,0
61.281,108.4,0.00049216,0.03,0
62.109,108.4,0.00049118,0.03,0
62.891,108.2,0.00049206,0.03,0
63.688,108.2,0.00049102,0.03,0
64.516,108,0.00049046,0.03,0
65.313,108,0.00049149,0.03,0
66.094,107.9,0.00048986,0.03,0
66.969,107.8,0.00048912,0.03,0
67.75,107.7,0.0004888,0.03,0
68.469,107.4,0.00048865,0.03,0
69.188,107.3,0.00048969,0.03,0
70.016,107.3,0.00048882,0.03,0
70.875,107.2,0.00048759,0.03,0
71.703,107.1,0.00048603,0.03,0
72.5,106.9,0.000485,0.03,0
73.297,106.8,0.00048499,0.03,0
74.156,106.7,0.00048196,0.03,0
74.953,106.6,0.00048233,0.03,0
75.75,106.4,0.00048147,0.03,0
76.531,106.3,0.00048083,0.03,0
77.359,106.2,0.0004806,0.03,0
78.203,106.1,0.00048042,0.03,0
78.984,105.9,0.00047989,0.03,0
79.781,105.8,0.00047995,0.03,0
80.609,105.7,0.00047886,0.03,0
81.328,105.6,0.00047713,0.03,0
82.031,105.4,0.00047552,0.03,0
82.828,105.3,0.00047391,0.03,0
83.656,105.1,0.00047385,0.03,0
84.484,105,0.00047289,0.03,0
85.281,104.9,0.00047124,0.03,0
86.109,104.7,0.00047146,0.03,0
86.938,104.6,0.00046879,0.03,0
87.734,104.3,0.00046846,0.03,0
88.563,104.2,0.00046662,0.03,0
89.391,104.1,0.00046562,0.03,0
90.188,103.9,0.00046474,0.03,0
91.016,103.8,0.00046297,0.03,0
91.844,103.6,0.000465,0.03,0
92.641,103.3,0.00046585,0.03,0
93.469,103.2,0.00046754,0.03,0
94.25,103.1,0.00046753,0.03,0
94.969,102.8,0.00046743,0.03,0
95.688,102.7,0.0004684,0.03,0
96.516,102.4,0.00046807,0.03,0
97.344,102.2,0.00046744,0.03,0
98.141,102,0.00046749,0.03,0
98.922,101.8,0.00046704,0.03,0
99.75,101.6,0.00046611,0.03,0
100.55,101.4,0.00046619,0.03,0
101.38,101.2,0.00046485,0.03,0
102.17,101,0.0004639,0.03,0
102.97,100.8,0.00046245,0.03,0
103.67,100.6,0.0004603,0.03,0
104.39,100.3,0.00045962,0.03,0
105.22,100.1,0.0004589,0.03,0
106.05,100,0.00045753,0.03,0
106.84,99.7,0.00045556,0.03,0
107.63,99.6,0.00045475,0.03,0
108.34,99.2,0.00045273,0.03,0
109.17,99.1,0.0004515,0.03,0
109.89,98.8,0.00044965,0.03,0
110.64,98.6,0.00044846,0.03,0
111.36,98.4,0.00044701,0.03,0
112.11,98.3,0.00044607,0.03,0
112.86,98,0.00044572,0.03,0
113.58,97.9,0.00044381,0.03,0
114.28,97.6,0.00044254,0.03,0
115.08,97.5,0.00044173,0.03,0
115.8,97.3,0.00044041,0.03,0
116.5,97,0.00044018,0.03,0
117.33,96.8,0.00043878,0.03,0
118.13,96.6,0.00043675,0.03,0
118.84,96.4,0.00043632,0.03,0
119.59,96.3,0.00043536,0.03,0
120.39,96,0.0004341,0.03,0
121.09,95.8,0.00043355,0.03,0
121.89,95.6,0.00043173,0.03,0
122.72,95.4,0.00043181,0.03,0
123.44,95.3,0.00043039,0.03,0
124.14,94.9,0.00042924,0.03,0
124.97,94.7,0.00042844,0.03,0
125.81,94.6,0.00042721,0.03,0
126.52,94.3,0.0004262,0.03,0
127.34,94,0.00042474,0.03,0
128.17,93.8,0.00042381,0.03,0
128.97,93.6,0.00042332,0.03,0
129.83,93.4,0.00042118,0.03,0
130.66,93.3,0.00042131,0.03,0
131.38,93,0.00042085,0.03,0
132.09,92.9,0.00041955,0.03,0
132.84,92.6,0.00041769,0.03,0
133.59,92.4,0.00041684,0.03,0
134.42,92.3,0.00041664,0.03,0
135.14,91.9,0.00041583,0.03,0
135.89,95.1,0.0004145,0.03,0
136.61,91.6,0.00041356,0.03,0
137.39,91.5,0.00041264,0.03,0
138.11,91.2,0.00041173,0.03,0
138.91,90.9,0.00041038,0.03,0
139.66,90.7,0.0004099,0.03,0
140.36,90.6,0.00040931,0.03,0
141.08,90.4,0.00040873,0.03,0
141.88,90.2,0.00040763,0.03,0
142.58,89.9,0.00040645,0.03,0
143.38,89.8,0.00040491,0.03,0
144.09,89.6,0.00040467,0.03,0
144.8,89.4,0.00040378,0.03,0
145.52,89.2,0.0004035,0.03,0
146.23,89.1,0.00040219,0.03,0
146.98,88.8,0.00040071,0.03,0
147.69,88.6,0.00040009,0.03,0
148.41,88.4,0.0003994,0.03,0
149.16,88.2,0.00039869,0.03,0
149.95,88.1,0.00039776,0.03,0
150.7,87.8,0.00039725,0.03,0
151.45,87.6,0.00039628,0.03,0
152.28,87.4,0.00039488,0.03,0
153,87.2,0.0003943,0.03,0
153.8,87.1,0.00039324,0.03,0
154.5,86.8,0.0003925,0.03,0
155.25,86.7,0.00039239,0.03,0
156.02,86.4,0.00039075,0.03,0
156.72,86.2,0.0003892,0.03,0
157.55,86.1,0.0003888,0.03,0
158.27,85.8,0.00038783,0.03,0
158.98,85.7,0.0003871,0.03,0
159.73,85.4,0.00038634,0.03,0
160.45,85.3,0.00038544,0.03,0
161.16,85.1,0.00038502,0.03,0
161.95,84.9,0.00038344,0.03,0
162.67,87.5,0.00038189,0.03,0
163.45,84.6,0.00038232,0.03,0
164.17,84.3,0.00038145,0.03,0
164.92,84.2,0.00038058,0.03,0
165.75,84,0.00038029,0.03,0
166.47,83.8,0.00037883,0.03,0
167.22,83.6,0.00037755,0.03,0
168.05,83.4,0.00037823,0.03,0
168.77,83.2,0.00037653,0.03,0
169.47,83.1,0.00037597,0.03,0
170.31,82.7,0.00037498,0.03,0
171.06,82.5,0.00037374,0.03,0
171.81,82.3,0.00037302,0.03,0
172.67,82.1,0.00037173,0.03,0
173.47,81.9,0.00037014,0.03,0
174.3,81.7,0.00037096,0.03,0
175.02,81.5,0.00036885,0.03,0
175.73,81.4,0.00036898,0.03,0
176.44,81.1,0.0003676,0.03,0
177.19,83.7,0.0003676,0.03,0
177.95,80.9,0.00036645,0.03,0
178.66,80.7,0.00036548,0.03,0
179.38,80.5,0.00036492,0.03,0
180.16,80.3,0.00036429,0.03,0
180.88,80.1,0.00036332,0.03,0
181.63,80,0.00036259,0.03,0
182.34,79.7,0.0003626,0.03,0
183.22,79.5,0.00036116,0.03,0
184.05,79.3,0.00036019,0.03,0
184.91,81.6,0.00035985,0.03,0
185.63,79,0.00035788,0.03,0
186.38,78.7,0.00035773,0.03,0
187.16,78.5,0.00035666,0.03,0
188,78.4,0.0003563,0.03,0
188.7,78.2,0.00035597,0.03,0
189.45,78.1,0.00035508,0.03,0
190.17,77.9,0.00035437,0.03,0
190.89,77.8,0.00035292,0.03,0
191.59,77.6,0.00035332,0.03,0
192.34,77.4,0.00035097,0.03,0
193.19,77.2,0.00035147,0.03,0
193.97,77,0.00035071,0.03,0
194.8,76.9,0.00034943,0.03,0
195.52,76.6,0.00034839,0.03,0
196.34,76.5,0.0003478,0.03,0
197.06,76.3,0.00034761,0.03,0
197.84,76.1,0.00034669,0.03,0
198.56,76,0.00034654,0.03,0
199.36,75.9,0.00034549,0.03,0
200.11,75.5,0.00034394,0.03,0
200.83,75.4,0.00034311,0.03,0
201.58,75.3,0.00034285,0.03,0
202.28,75.1,0.00034203,0.03,0
203.08,75,0.00034263,0.03,0
203.83,74.8,0.00034056,0.03,0
204.55,74.5,0.0003411,0.03,0
205.27,74.4,0.00034045,0.03,0
206.05,74.2,0.00033891,0.03,0
206.84,74,0.0003389,0.03,0
207.67,73.9,0.0003377,0.03,0
208.42,73.8,0.00033631,0.03,0
209.14,73.4,0.00033563,0.03,0
209.97,73.3,0.00033556,0.03,0
210.69,73.2,0.00033527,0.03,0
211.47,73,0.00033507,0.03,0
212.3,72.9,0.00033418,0.03,0
213.02,72.7,0.00033333,0.03,0
213.81,72.5,0.00033254,0.03,0
214.56,72.3,0.00033239,0.03,0
215.27,72.2,0.0003312,0.03,0
216.11,72,0.00033081,0.03,0
216.89,71.9,0.00033049,0.03,0
217.72,71.7,0.0003291,0.03,0
218.44,71.5,0.00032843,0.03,0
219.19,71.4,0.0003282,0.03,0
219.98,71.2,0.00032725,0.03,0
220.81,71,0.00032729,0.03,0
221.56,70.9,0.00032602,0.03,0
222.31,70.7,0.00032511,0.03,0
223.14,70.5,0.00032445,0.03,0
223.86,70.3,0.00032421,0.03,0
224.66,70.2,0.00032321,0.03,0
225.48,70,0.00032349,0.03,0
226.31,69.9,0.00032247,0.03,0
227.11,69.7,0.00032146,0.03,0
227.86,69.5,0.00032141,0.03,0
228.56,69.4,0.00031987,0.03,0
229.28,69.2,0.00031936,0.03,0
230.03,69.1,0.00032014,0.03,0
230.75,68.9,0.00031966,0.03,0
231.5,68.9,0.00031863,0.03,0
232.25,68.7,0.00031772,0.03,0
232.97,68.5,0.00031694,0.03,0
233.77,68.4,0.00031643,0.03,0
234.47,68.2,0.00031668,0.03,0
235.19,68.1,0.0003152,0.03,0
235.89,67.9,0.00031449,0.03,0
236.69,67.8,0.00031417,0.03,0
237.41,67.7,0.00031377,0.03,0
238.19,67.4,0.00031359,0.03,0
238.91,67.3,0.00031397,0.03,0
239.7,67.2,0.00031266,0.03,0
240.45,67,0.00031204,0.03,0
241.23,66.9,0.00031248,0.03,0
241.95,66.7,0.00031146,0.03,0
242.67,66.6,0.00031122,0.03,0
243.5,66.2,0.00030989,0.03,0
244.22,66,0.0003092,0.03,0
244.97,65.9,0.00030799,0.03,0
245.72,65.8,0.00030752,0.03,0
246.44,65.6,0.00030802,0.03,0
247.3,65.5,0.00030675,0.03,0
248.13,65.4,0.00030656,0.03,0
248.95,65.1,0.0003051,0.03,0
249.78,64.9,0.0003052,0.03,0
250.61,64.8,0.00030392,0.03,0
251.45,64.7,0.00030274,0.03,0
252.28,64.5,0.00030333,0.03,0
253.11,64.4,0.00030248,0.03,0
253.81,64.2,0.00030267,0.03,0
254.58,64,0.000302,0.03,0
255.41,63.9,0.00030196,0.03,0
256.19,65.2,0.00030077,0.03,0
256.91,63.6,0.00030011,0.03,0
257.66,63.5,0.00030016,0.03,0
258.48,63.3,0.00029975,0.03,0
259.31,63.1,0.00029912,0.03,0
260.16,63,0.00029863,0.03,0
260.91,62.9,0.00029792,0.03,0
261.61,62.8,0.00029755,0.03,0
262.41,64,0.00029736,0.03,0
263.16,62.5,0.00029589,0.03,0
263.88,62.5,0.00029598,0.03,0
264.63,62.3,0.00029605,0.03,0
265.34,62.1,0.00029461,0.03,0
266.2,62,0.00029421,0.03,0
266.92,61.8,0.0002938,0.03,0
267.64,61.8,0.00029342,0.03,0
268.39,61.6,0.00029364,0.03,0
269.09,61.5,0.00029295,0.03,0
269.81,61.4,0.00029186,0.03,0
270.61,61.2,0.00029233,0.03,0
271.44,61,0.00029143,0.03,0
272.27,62.1,0.0002911,0.03,0
273.02,60.8,0.0002903,0.03,0
273.73,60.7,0.00029006,0.03,0
274.44,61.7,0.00028908,0.03,0
275.23,60.4,0.00028893,0.03,0
276.06,60.3,0.00028802,0.03,0
276.78,60.1,0.00028833,0.03,0
277.58,61.2,0.0002876,0.03,0
278.28,59.9,0.0002873,0.03,0
279,59.8,0.00028663,0.03,0
279.83,59.6,0.00028684,0.03,0
280.66,59.6,0.00028576,0.03,0
281.38,59.4,0.00028545,0.03,0
282.13,59.3,0.00028556,0.03,0
282.95,59.1,0.00028412,0.03,0
283.67,60,0.00028429,0.03,0
284.45,58.9,0.00028366,0.03,0
285.17,58.7,0.00028326,0.03,0
285.97,58.6,0.00028308,0.03,0
286.8,58.5,0.00028238,0.03,0
287.52,58.4,0.00028211,0.03,0
288.22,58.3,0.00028223,0.03,0
289.02,58,0.00028118,0.03,0
289.73,59,0.00028074,0.03,0
290.44,57.8,0.00027969,0.03,0
291.23,57.7,0.00028002,0.03,0
291.94,57.5,0.00027977,0.03,0
292.7,57.4,0.00027926,0.03,0
293.53,57.3,0.00027855,0.03,0
294.36,57.2,0.00027817,0.03,0
295.19,57,0.00027792,0.03,0
295.91,56.9,0.00027715,0.03,0
296.69,57.8,0.00027683,0.03,0
297.41,56.7,0.00027714,0.03,0
298.23,56.5,0.00027633,0.03,0
299.11,56.4,0.00027526,0.03,0
299.89,56.4,0.00027532,0.03,0
300.66,56.2,0.00027484,0.03,0
301.36,56,0.00027467,0.03,0
302.16,56,0.0002742,0.03,0
302.88,55.9,0.00027356,0.03,0
303.7,55.8,0.00027272,0.03,0
304.41,55.6,0.00027223,0.03,0
305.13,55.5,0.0002723,0.03,0
305.88,55.4,0.00027143,0.03,0
306.63,56.2,0.0002714,0.03,0
307.34,55.2,0.00027103,0.03,0
308.09,55,0.00027099,0.03,0
308.95,54.9,0.00027021,0.03,0
309.67,54.8,0.00026924,0.03,0
310.42,54.7,0.00026969,0.03,0
311.14,54.5,0.00026932,0.03,0
311.92,54.5,0.00026901,0.03,0
312.77,54.4,0.00026773,0.03,0
313.47,54.3,0.00026837,0.03,0
314.19,54.2,0.00026743,0.03,0
314.94,54,0.00026689,0.03,0
315.66,53.9,0.00026678,0.03,0
316.36,53.8,0.0002668,0.03,0
317.08,53.7,0.000266,0.03,0
317.83,53.6,0.00026555,0.03,0
318.7,53.5,0.00026597,0.03,0
319.42,53.4,0.00026492,0.03,0
320.13,53.3,0.00026441,0.03,0
320.88,53.2,0.00026459,0.03,0
321.59,53.1,0.00026379,0.03,0
322.31,52.9,0.00026291,0.03,0
