	Temp	25.000000	
RESSIST	TEMP	REAL TEMP	CURRENT	VOLTAGE
1.527836E-3	25.000000E+0	25.000000	700.000000E-6	+1.06948537E-06
1.450666E-3	25.000000E+0	25.000000	710.000000E-6	+1.02997280E-06
1.451093E-3	25.000000E+0	25.000000	720.000000E-6	+1.04478709E-06
1.326422E-3	25.000000E+0	25.000000	730.000000E-6	+9.68288372E-07
1.393166E-3	25.000000E+0	25.000000	740.000000E-6	+1.03094254E-06
1.378228E-3	25.000000E+0	25.000000	750.000000E-6	+1.03367103E-06
1.410887E-3	25.000000E+0	25.000000	760.000000E-6	+1.07227408E-06
1.412906E-3	25.000000E+0	25.000000	770.000000E-6	+1.08793763E-06
1.382484E-3	25.000000E+0	25.000000	780.000000E-6	+1.07833739E-06
1.365879E-3	25.000000E+0	25.000000	790.000000E-6	+1.07904478E-06
1.286404E-3	25.000000E+0	25.000000	800.000000E-6	+1.02912355E-06
1.321300E-3	25.000000E+0	25.000000	810.000000E-6	+1.07025298E-06
1.317646E-3	25.000000E+0	25.000000	820.000000E-6	+1.08046937E-06
1.298118E-3	25.000000E+0	25.000000	830.000000E-6	+1.07743772E-06
1.260408E-3	25.000000E+0	25.000000	840.000000E-6	+1.05874254E-06
1.227508E-3	25.000000E+0	25.000000	850.000000E-6	+1.04338218E-06
1.273046E-3	25.000000E+0	25.000000	860.000000E-6	+1.09481919E-06
1.173968E-3	25.000000E+0	25.000000	870.000000E-6	+1.02135218E-06
1.173719E-3	25.000000E+0	25.000000	880.000000E-6	+1.03287245E-06
1.146338E-3	25.000000E+0	25.000000	890.000000E-6	+1.02024057E-06
1.161335E-3	25.000000E+0	25.000000	900.000000E-6	+1.04520117E-06
1.169006E-3	25.000000E+0	25.000000	910.000000E-6	+1.06379529E-06
1.164552E-3	25.000000E+0	25.000000	920.000000E-6	+1.07138741E-06
1.148552E-3	25.000000E+0	25.000000	930.000000E-6	+1.06815365E-06
1.150632E-3	25.000000E+0	25.000000	940.000000E-6	+1.08159397E-06
1.125436E-3	25.000000E+0	25.000000	950.000000E-6	+1.06916420E-06
1.108239E-3	25.000000E+0	25.000000	960.000000E-6	+1.06390934E-06
1.091292E-3	25.000000E+0	25.000000	970.000000E-6	+1.05855342E-06
1.098202E-3	25.000000E+0	25.000000	980.000000E-6	+1.07623806E-06
1.028518E-3	25.000000E+0	25.000000	990.000000E-6	+1.01823246E-06
1.030359E-3	25.000000E+0	25.000000	1.000000E-3	+1.03035906E-06
1.038768E-3	25.000000E+0	25.000000	1.010000E-3	+1.04915530E-06
1.015081E-3	25.000000E+0	25.000000	1.020000E-3	+1.03538271E-06
1.023377E-3	25.000000E+0	25.000000	1.030000E-3	+1.05407788E-06
1.010816E-3	25.000000E+0	25.000000	1.040000E-3	+1.05124834E-06
981.266619E-6	25.000000E+0	25.000000	1.050000E-3	+1.03032995E-06
997.845160E-6	25.000000E+0	25.000000	1.060000E-3	+1.05771587E-06
977.186224E-6	25.000000E+0	25.000000	1.070000E-3	+1.04558926E-06
943.903713E-6	25.000000E+0	25.000000	1.080000E-3	+1.01941601E-06
972.328459E-6	25.000000E+0	25.000000	1.090000E-3	+1.05983802E-06
916.268855E-6	25.000000E+0	25.000000	1.100000E-3	+1.00789574E-06
958.996892E-6	25.000000E+0	25.000000	1.110000E-3	+1.06448655E-06
950.695616E-6	25.000000E+0	25.000000	1.120000E-3	+1.06477909E-06
929.762292E-6	25.000000E+0	25.000000	1.130000E-3	+1.05063139E-06
848.917789E-6	25.000000E+0	25.000000	1.140000E-3	+9.67766279E-07
855.244227E-6	25.000000E+0	25.000000	1.150000E-3	+9.83530861E-07
869.476293E-6	25.000000E+0	25.000000	1.160000E-3	+1.00859250E-06
921.468675E-6	25.000000E+0	25.000000	1.170000E-3	+1.07811835E-06
884.456432E-6	25.000000E+0	25.000000	1.180000E-3	+1.04365859E-06
863.436798E-6	25.000000E+0	25.000000	1.190000E-3	+1.02748979E-06
872.831358E-6	25.000000E+0	25.000000	1.200000E-3	+1.04739763E-06
875.639860E-6	25.000000E+0	25.000000	1.210000E-3	+1.05952423E-06
787.169113E-6	25.000000E+0	25.000000	1.220000E-3	+9.60346318E-07
844.853065E-6	25.000000E+0	25.000000	1.230000E-3	+1.03916927E-06
850.019645E-6	25.000000E+0	25.000000	1.240000E-3	+1.05402436E-06
837.883784E-6	25.000000E+0	25.000000	1.250000E-3	+1.04735473E-06
842.141437E-6	25.000000E+0	25.000000	1.260000E-3	+1.06109821E-06
809.570283E-6	25.000000E+0	25.000000	1.270000E-3	+1.02815426E-06
796.850625E-6	25.000000E+0	25.000000	1.280000E-3	+1.01996880E-06
808.221039E-6	25.000000E+0	25.000000	1.290000E-3	+1.04260514E-06
738.572468E-6	25.000000E+0	25.000000	1.300000E-3	+9.60144208E-07
803.827336E-6	25.000000E+0	25.000000	1.310000E-3	+1.05301381E-06
774.453227E-6	25.000000E+0	25.000000	1.320000E-3	+1.02227826E-06
810.647902E-6	25.000000E+0	25.000000	1.330000E-3	+1.07816171E-06
779.560769E-6	25.000000E+0	25.000000	1.340000E-3	+1.04461143E-06
758.889978E-6	25.000000E+0	25.000000	1.350000E-3	+1.02450147E-06
772.034816E-6	25.000000E+0	25.000000	1.360000E-3	+1.04996735E-06
789.265993E-6	25.000000E+0	25.000000	1.370000E-3	+1.08129441E-06
777.395500E-6	25.000000E+0	25.000000	1.380000E-3	+1.07280579E-06
760.606698E-6	25.000000E+0	25.000000	1.390000E-3	+1.05724331E-06
761.742371E-6	25.000000E+0	25.000000	1.400000E-3	+1.06643932E-06
749.459596E-6	25.000000E+0	25.000000	1.410000E-3	+1.05673803E-06
737.667768E-6	25.000000E+0	25.000000	1.420000E-3	+1.04748823E-06
751.589566E-6	25.000000E+0	25.000000	1.430000E-3	+1.07477308E-06
741.457799E-6	25.000000E+0	25.000000	1.440000E-3	+1.06769923E-06
727.353890E-6	25.000000E+0	25.000000	1.450000E-3	+1.05466314E-06
716.073377E-6	25.000000E+0	25.000000	1.460000E-3	+1.04546713E-06
732.788027E-6	25.000000E+0	25.000000	1.470000E-3	+1.07719840E-06
709.059649E-6	25.000000E+0	25.000000	1.480000E-3	+1.04940828E-06
727.902966E-6	25.000000E+0	25.000000	1.490000E-3	+1.08457542E-06
713.753220E-6	25.000000E+0	25.000000	1.500000E-3	+1.07062983E-06
677.839868E-6	25.000000E+0	25.000000	1.510000E-3	+1.02353820E-06
706.333467E-6	25.000000E+0	25.000000	1.520000E-3	+1.07362687E-06
702.245301E-6	25.000000E+0	25.000000	1.530000E-3	+1.07443531E-06
699.850727E-6	25.000000E+0	25.000000	1.540000E-3	+1.07777012E-06
712.938690E-6	25.000000E+0	25.000000	1.550000E-3	+1.10505497E-06
700.724667E-6	25.000000E+0	25.000000	1.560000E-3	+1.09313048E-06
685.641025E-6	25.000000E+0	25.000000	1.570000E-3	+1.07645641E-06
676.376696E-6	25.000000E+0	25.000000	1.580000E-3	+1.06867518E-06
656.996283E-6	25.000000E+0	25.000000	1.590000E-3	+1.04462409E-06
668.679894E-6	25.000000E+0	25.000000	1.600000E-3	+1.06988783E-06
657.622230E-6	25.000000E+0	25.000000	1.610000E-3	+1.05877179E-06
682.682537E-6	25.000000E+0	25.000000	1.620000E-3	+1.10594571E-06
627.594840E-6	25.000000E+0	25.000000	1.630000E-3	+1.02297959E-06
661.663652E-6	25.000000E+0	25.000000	1.640000E-3	+1.08512839E-06
659.674667E-6	25.000000E+0	25.000000	1.650000E-3	+1.08846320E-06
664.649566E-6	25.000000E+0	25.000000	1.660000E-3	+1.10331828E-06
649.293383E-6	25.000000E+0	25.000000	1.670000E-3	+1.08431995E-06
660.947696E-6	25.000000E+0	25.000000	1.680000E-3	+1.11039213E-06
655.840846E-6	25.000000E+0	25.000000	1.690000E-3	+1.10837103E-06
637.062488E-6	25.000000E+0	25.000000	1.700000E-3	+1.08300623E-06
634.814392E-6	25.000000E+0	25.000000	1.710000E-3	+1.08553261E-06
634.298802E-6	25.000000E+0	25.000000	1.720000E-3	+1.09099394E-06
626.543410E-6	25.000000E+0	25.000000	1.730000E-3	+1.08392010E-06
622.477966E-6	25.000000E+0	25.000000	1.740000E-3	+1.08311166E-06
622.789909E-6	25.000000E+0	25.000000	1.750000E-3	+1.08988234E-06
626.026602E-6	25.000000E+0	25.000000	1.760000E-3	+1.10180682E-06
609.472480E-6	25.000000E+0	25.000000	1.770000E-3	+1.07876629E-06
623.704713E-6	25.000000E+0	25.000000	1.780000E-3	+1.11019439E-06
603.622475E-6	25.000000E+0	25.000000	1.790000E-3	+1.08048423E-06
612.227183E-6	25.000000E+0	25.000000	1.800000E-3	+1.10200893E-06
577.690757E-6	25.000000E+0	25.000000	1.810000E-3	+1.04562027E-06
602.551604E-6	25.000000E+0	25.000000	1.820000E-3	+1.09664392E-06
601.523044E-6	25.000000E+0	25.000000	1.830000E-3	+1.10078717E-06
597.320239E-6	25.000000E+0	25.000000	1.840000E-3	+1.09906924E-06
587.864308E-6	25.000000E+0	25.000000	1.850000E-3	+1.08754897E-06
602.578522E-6	25.000000E+0	25.000000	1.860000E-3	+1.12079605E-06
557.258957E-6	25.000000E+0	25.000000	1.870000E-3	+1.04207425E-06
562.787729E-6	25.000000E+0	25.000000	1.880000E-3	+1.05804093E-06
587.239217E-6	25.000000E+0	25.000000	1.890000E-3	+1.10988212E-06
574.308921E-6	25.000000E+0	25.000000	1.900000E-3	+1.09118695E-06
565.111791E-6	25.000000E+0	25.000000	1.910000E-3	+1.07936352E-06
569.604307E-6	25.000000E+0	25.000000	1.920000E-3	+1.09364027E-06
572.569679E-6	25.000000E+0	25.000000	1.930000E-3	+1.10505948E-06
569.409928E-6	25.000000E+0	25.000000	1.940000E-3	+1.10465526E-06
573.382344E-6	25.000000E+0	25.000000	1.950000E-3	+1.11809557E-06
547.049291E-6	25.000000E+0	25.000000	1.960000E-3	+1.07221661E-06
549.658569E-6	25.000000E+0	25.000000	1.970000E-3	+1.08282738E-06
561.071045E-6	25.000000E+0	25.000000	1.980000E-3	+1.11092067E-06
550.126568E-6	25.000000E+0	25.000000	1.990000E-3	+1.09475187E-06
523.274325E-6	25.000000E+0	25.000000	2.000000E-3	+1.04654865E-06
555.110104E-6	25.000000E+0	25.000000	2.010000E-3	+1.11577131E-06
555.656762E-6	25.000000E+0	25.000000	2.020000E-3	+1.12242666E-06
523.847567E-6	25.000000E+0	25.000000	2.030000E-3	+1.06341056E-06
549.416559E-6	25.000000E+0	25.000000	2.040000E-3	+1.12080978E-06
544.468902E-6	25.000000E+0	25.000000	2.050000E-3	+1.11616125E-06
