	Temp	25.000000	
Time	TEMP	REAL TEMP	CURRENT	VOLTAGE
34.491972E+0	25.000000E+0	25.000000	810.000000E-6	-3.42782381E-07
34.916997E+0	25.000000E+0	25.000000	820.000000E-6	-3.24390395E-07
35.342021E+0	25.000000E+0	25.000000	830.000000E-6	-3.36719089E-07
35.768045E+0	25.000000E+0	25.000000	840.000000E-6	-3.37146082E-07
36.193070E+0	25.000000E+0	25.000000	850.000000E-6	-3.33103888E-07
36.619094E+0	25.000000E+0	25.000000	860.000000E-6	-3.48060005E-07
37.045119E+0	25.000000E+0	25.000000	870.000000E-6	-3.20269923E-07
37.472143E+0	25.000000E+0	25.000000	880.000000E-6	-3.44422031E-07
37.897167E+0	25.000000E+0	25.000000	890.000000E-6	-3.66553042E-07
38.322192E+0	25.000000E+0	25.000000	900.000000E-6	-3.38864014E-07
38.748216E+0	25.000000E+0	25.000000	910.000000E-6	-3.41794605E-07
39.173240E+0	25.000000E+0	25.000000	920.000000E-6	-3.35226040E-07
39.598265E+0	25.000000E+0	25.000000	930.000000E-6	-3.79690172E-07
40.025289E+0	25.000000E+0	25.000000	940.000000E-6	-4.07140689E-07
40.451313E+0	25.000000E+0	25.000000	950.000000E-6	-3.30338983E-07
40.877338E+0	25.000000E+0	25.000000	960.000000E-6	-3.35492782E-07
41.303362E+0	25.000000E+0	25.000000	970.000000E-6	-3.44890885E-07
41.730387E+0	25.000000E+0	25.000000	980.000000E-6	-3.45194050E-07
42.155411E+0	25.000000E+0	25.000000	990.000000E-6	-3.63788147E-07
42.579435E+0	25.000000E+0	25.000000	1.000000E-3	-3.55501647E-07
43.005459E+0	25.000000E+0	25.000000	1.010000E-3	-3.48730971E-07
43.431484E+0	25.000000E+0	25.000000	1.020000E-3	-3.38625483E-07
43.857508E+0	25.000000E+0	25.000000	1.030000E-3	-3.48427806E-07
44.283533E+0	25.000000E+0	25.000000	1.040000E-3	-3.24457074E-07
44.709557E+0	25.000000E+0	25.000000	1.050000E-3	-3.50529237E-07
45.135581E+0	25.000000E+0	25.000000	1.060000E-3	-3.25871843E-07
45.561606E+0	25.000000E+0	25.000000	1.070000E-3	-3.37897375E-07
45.986630E+0	25.000000E+0	25.000000	1.080000E-3	-3.46992316E-07
46.412654E+0	25.000000E+0	25.000000	1.090000E-3	-3.26377117E-07
46.838679E+0	25.000000E+0	25.000000	1.100000E-3	-3.46183877E-07
47.262703E+0	25.000000E+0	25.000000	1.110000E-3	-3.47699700E-07
47.687727E+0	25.000000E+0	25.000000	1.120000E-3	-3.36684717E-07
48.113752E+0	25.000000E+0	25.000000	1.130000E-3	-3.90243811E-07
48.540776E+0	25.000000E+0	25.000000	1.140000E-3	-3.21951890E-07
48.965801E+0	25.000000E+0	25.000000	1.150000E-3	-3.29935232E-07
49.390825E+0	25.000000E+0	25.000000	1.160000E-3	-3.34886925E-07
49.815849E+0	25.000000E+0	25.000000	1.170000E-3	-4.02088477E-07
50.243874E+0	25.000000E+0	25.000000	1.180000E-3	-3.43880817E-07
50.670898E+0	25.000000E+0	25.000000	1.190000E-3	-3.34583761E-07
51.094922E+0	25.000000E+0	25.000000	1.200000E-3	-3.36705915E-07
51.520947E+0	25.000000E+0	25.000000	1.210000E-3	-3.26095144E-07
51.945971E+0	25.000000E+0	25.000000	1.220000E-3	-3.38322794E-07
52.371995E+0	25.000000E+0	25.000000	1.230000E-3	-3.99562103E-07
52.798020E+0	25.000000E+0	25.000000	1.240000E-3	-3.46547450E-07
53.223044E+0	25.000000E+0	25.000000	1.250000E-3	-3.62413088E-07
53.648068E+0	25.000000E+0	25.000000	1.260000E-3	-3.41393644E-07
54.074092E+0	25.000000E+0	25.000000	1.270000E-3	-3.44930570E-07
54.500117E+0	25.000000E+0	25.000000	1.280000E-3	-3.28862822E-07
54.927141E+0	25.000000E+0	25.000000	1.290000E-3	-3.38058829E-07
55.353166E+0	25.000000E+0	25.000000	1.300000E-3	-3.83028312E-07
55.779190E+0	25.000000E+0	25.000000	1.310000E-3	-3.14007734E-07
56.205215E+0	25.000000E+0	25.000000	1.320000E-3	-3.24012181E-07
56.631239E+0	25.000000E+0	25.000000	1.330000E-3	-3.24113236E-07
57.057263E+0	25.000000E+0	25.000000	1.340000E-3	-3.39988988E-07
57.482288E+0	25.000000E+0	25.000000	1.350000E-3	-3.36553118E-07
57.907312E+0	25.000000E+0	25.000000	1.360000E-3	-3.16948446E-07
58.331336E+0	25.000000E+0	25.000000	1.370000E-3	-3.82027872E-07
58.759361E+0	25.000000E+0	25.000000	1.380000E-3	-3.45547014E-07
59.185385E+0	25.000000E+0	25.000000	1.390000E-3	-3.24729682E-07
59.610409E+0	25.000000E+0	25.000000	1.400000E-3	-3.26144452E-07
60.035433E+0	25.000000E+0	25.000000	1.410000E-3	-3.20081151E-07
60.460458E+0	25.000000E+0	25.000000	1.420000E-3	-3.42414309E-07
60.886482E+0	25.000000E+0	25.000000	1.430000E-3	-3.44738574E-07
61.314507E+0	25.000000E+0	25.000000	1.440000E-3	-3.13799178E-07
61.738531E+0	25.000000E+0	25.000000	1.450000E-3	-4.28193465E-07
62.164556E+0	25.000000E+0	25.000000	1.460000E-3	-3.27643716E-07
62.590580E+0	25.000000E+0	25.000000	1.470000E-3	-3.19761424E-07
63.017604E+0	25.000000E+0	25.000000	1.480000E-3	-3.13192848E-07
63.442629E+0	25.000000E+0	25.000000	1.490000E-3	-3.70187881E-07
63.868653E+0	25.000000E+0	25.000000	1.500000E-3	-3.12990738E-07
64.294677E+0	25.000000E+0	25.000000	1.510000E-3	-3.12384407E-07
64.720701E+0	25.000000E+0	25.000000	1.520000E-3	-3.14203398E-07
65.146726E+0	25.000000E+0	25.000000	1.530000E-3	-3.14001288E-07
65.572750E+0	25.000000E+0	25.000000	1.540000E-3	-3.07460952E-07
65.998775E+0	25.000000E+0	25.000000	1.550000E-3	-3.28480392E-07
66.424799E+0	25.000000E+0	25.000000	1.560000E-3	-3.61828542E-07
66.849823E+0	25.000000E+0	25.000000	1.570000E-3	-3.07966227E-07
67.277848E+0	25.000000E+0	25.000000	1.580000E-3	-3.33634197E-07
67.705872E+0	25.000000E+0	25.000000	1.590000E-3	-3.19385442E-07
68.129897E+0	25.000000E+0	25.000000	1.600000E-3	-3.29794107E-07
68.555921E+0	25.000000E+0	25.000000	1.610000E-3	-3.28985667E-07
68.978945E+0	25.000000E+0	25.000000	1.620000E-3	-3.33128922E-07
69.405970E+0	25.000000E+0	25.000000	1.630000E-3	-2.91090043E-07
69.832994E+0	25.000000E+0	25.000000	1.640000E-3	-3.26388385E-07
70.257018E+0	25.000000E+0	25.000000	1.650000E-3	-3.63576615E-07
70.684042E+0	25.000000E+0	25.000000	1.660000E-3	-2.97082443E-07
71.109067E+0	25.000000E+0	25.000000	1.670000E-3	-3.45993050E-07
71.537091E+0	25.000000E+0	25.000000	1.680000E-3	-3.44073005E-07
71.964116E+0	25.000000E+0	25.000000	1.690000E-3	-3.00922532E-07
72.390140E+0	25.000000E+0	25.000000	1.700000E-3	-3.30127419E-07
72.817164E+0	25.000000E+0	25.000000	1.710000E-3	-2.83642131E-07
73.243189E+0	25.000000E+0	25.000000	1.720000E-3	-3.31542189E-07
73.666214E+0	25.000000E+0	25.000000	1.730000E-3	-3.11230139E-07
74.092237E+0	25.000000E+0	25.000000	1.740000E-3	-2.85677546E-07
74.517262E+0	25.000000E+0	25.000000	1.750000E-3	-3.07606473E-07
74.943286E+0	25.000000E+0	25.000000	1.760000E-3	-2.96894647E-07
75.367311E+0	25.000000E+0	25.000000	1.770000E-3	-2.79108974E-07
75.794335E+0	25.000000E+0	25.000000	1.780000E-3	-2.96288317E-07
76.221359E+0	25.000000E+0	25.000000	1.790000E-3	-2.69508753E-07
76.646384E+0	25.000000E+0	25.000000	1.800000E-3	-2.75167830E-07
77.073408E+0	25.000000E+0	25.000000	1.810000E-3	-2.71428797E-07
77.497433E+0	25.000000E+0	25.000000	1.820000E-3	-3.02351615E-07
77.923457E+0	25.000000E+0	25.000000	1.830000E-3	-3.57426568E-07
78.350481E+0	25.000000E+0	25.000000	1.840000E-3	-3.21844607E-07
78.774506E+0	25.000000E+0	25.000000	1.850000E-3	-2.78795190E-07
79.200530E+0	25.000000E+0	25.000000	1.860000E-3	-2.74247716E-07
79.624554E+0	25.000000E+0	25.000000	1.870000E-3	-2.81119454E-07
80.053579E+0	25.000000E+0	25.000000	1.880000E-3	-2.72327672E-07
80.478603E+0	25.000000E+0	25.000000	1.890000E-3	-2.63535889E-07
80.904627E+0	25.000000E+0	25.000000	1.900000E-3	-2.72125562E-07
81.329651E+0	25.000000E+0	25.000000	1.910000E-3	-3.24573091E-07
81.754676E+0	25.000000E+0	25.000000	1.920000E-3	-2.81523674E-07
82.179700E+0	25.000000E+0	25.000000	1.930000E-3	-2.59998965E-07
82.606725E+0	25.000000E+0	25.000000	1.940000E-3	-2.55355445E-07
83.031749E+0	25.000000E+0	0.000000	1.950000E-3	-2.57477599E-07
83.457773E+0	25.000000E+0	25.000000	1.960000E-3	-2.40500365E-07
83.883798E+0	25.000000E+0	25.000000	1.970000E-3	-2.52525906E-07
84.310822E+0	25.000000E+0	25.000000	1.980000E-3	-2.67583096E-07
84.734846E+0	25.000000E+0	25.000000	1.990000E-3	-2.29283264E-07
85.159871E+0	25.000000E+0	25.000000	2.000000E-3	-2.25443175E-07
85.586895E+0	25.000000E+0	25.000000	2.010000E-3	-2.40399310E-07
86.010920E+0	25.000000E+0	25.000000	2.020000E-3	-2.65056722E-07
86.436944E+0	25.000000E+0	25.000000	2.030000E-3	-2.48382653E-07
86.862968E+0	25.000000E+0	25.000000	2.040000E-3	-2.57185790E-07
87.287992E+0	25.000000E+0	25.000000	2.050000E-3	-2.28284073E-07
87.714016E+0	25.000000E+0	25.000000	2.060000E-3	-2.64764911E-07
88.139041E+0	25.000000E+0	25.000000	2.070000E-3	-2.14843763E-07
88.568066E+0	25.000000E+0	25.000000	2.080000E-3	-1.97058091E-07
88.993090E+0	25.000000E+0	25.000000	2.090000E-3	-2.12721609E-07
89.419114E+0	25.000000E+0	25.000000	2.100000E-3	-2.37783238E-07
89.844139E+0	25.000000E+0	25.000000	2.110000E-3	-2.11306840E-07
90.271163E+0	25.000000E+0	25.000000	2.120000E-3	-1.87558925E-07
90.696187E+0	25.000000E+0	25.000000	2.130000E-3	-2.06254092E-07
91.122212E+0	25.000000E+0	25.000000	2.140000E-3	-1.88345907E-07
91.547236E+0	25.000000E+0	25.000000	2.150000E-3	-2.11083276E-07
91.973260E+0	25.000000E+0	25.000000	2.160000E-3	-1.96127140E-07
92.398284E+0	25.000000E+0	25.000000	2.170000E-3	-2.72221535E-07
92.826309E+0	25.000000E+0	25.000000	2.180000E-3	-2.20178224E-07
93.251333E+0	25.000000E+0	25.000000	2.190000E-3	-1.78341464E-07
93.677358E+0	25.000000E+0	25.000000	2.200000E-3	-1.97642964E-07
94.101382E+0	25.000000E+0	25.000000	2.210000E-3	-2.57871729E-07
94.526406E+0	25.000000E+0	25.000000	2.220000E-3	-1.69953902E-07
94.952431E+0	25.000000E+0	25.000000	2.230000E-3	-1.81171004E-07
95.378455E+0	25.000000E+0	25.000000	2.240000E-3	-1.56123854E-07
95.803479E+0	25.000000E+0	25.000000	2.250000E-3	-1.64713526E-07
96.228504E+0	25.000000E+0	25.000000	2.260000E-3	-1.47332072E-07
96.654528E+0	25.000000E+0	25.000000	2.270000E-3	-1.73606362E-07
97.081553E+0	25.000000E+0	25.000000	2.280000E-3	-1.85126628E-07
97.508577E+0	25.000000E+0	25.000000	2.290000E-3	-1.43997259E-07
97.931601E+0	25.000000E+0	25.000000	2.300000E-3	-1.62793482E-07
98.357625E+0	25.000000E+0	25.000000	2.310000E-3	-2.12108303E-07
98.781650E+0	25.000000E+0	25.000000	2.320000E-3	-2.17161051E-07
99.206674E+0	25.000000E+0	25.000000	2.330000E-3	-1.44906753E-07
99.633698E+0	25.000000E+0	25.000000	2.340000E-3	-1.25948070E-07
100.059723E+0	25.000000E+0	25.000000	2.350000E-3	-1.28474443E-07
100.484747E+0	25.000000E+0	25.000000	2.360000E-3	-1.41510528E-07
100.909771E+0	25.000000E+0	25.000000	2.370000E-3	-1.15236247E-07
101.337796E+0	25.000000E+0	25.000000	2.380000E-3	-1.35346178E-07
101.761820E+0	25.000000E+0	25.000000	2.390000E-3	-1.41914748E-07
102.187845E+0	25.000000E+0	25.000000	2.400000E-3	-1.31405036E-07
102.613869E+0	25.000000E+0	25.000000	2.410000E-3	-1.33122969E-07
103.039894E+0	25.000000E+0	25.000000	2.420000E-3	-1.36659892E-07
103.464918E+0	25.000000E+0	25.000000	2.430000E-3	-1.74252325E-07
103.892942E+0	25.000000E+0	25.000000	2.440000E-3	-1.09687784E-07
104.316966E+0	25.000000E+0	25.000000	2.450000E-3	-1.22622814E-07
104.742990E+0	25.000000E+0	25.000000	2.460000E-3	-1.16357409E-07
105.168015E+0	25.000000E+0	25.000000	2.470000E-3	-1.19995386E-07
