Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),HeatingCurr(A),SampCurr_order(A)0.453,1.0241e-06,-0.0035906,0,0.128,0
30.859,35.72,1.2776e-06,-0.0035348,0.1,0.128,0
31.141,35.72,0.00058008,1.2831,0.1,0.128,1.2857
31.422,35.72,1.9447e-06,-0.0035091,0.1,0.128,0
31.703,35.72,0.00075099,1.4973,0.1,0.128,1.5
31.984,35.72,2.749e-06,-0.0034939,0.1,0.128,0
32.266,35.72,0.00092969,1.7116,0.1,0.128,1.7143
32.547,35.72,2.4042e-06,-0.003496,0.1,0.128,0
32.828,35.72,0.001129,1.9259,0.1,0.128,1.9286
33.109,35.72,1.8054e-06,-0.0034642,0.1,0.128,0
33.391,35.72,0.0013458,2.1404,0.1,0.128,2.1429
33.672,35.72,1.838e-06,-0.0034318,0.1,0.128,0
33.953,35.72,0.0015832,2.3547,0.1,0.128,2.3571
34.25,35.72,1.6495e-06,-0.0034834,0.1,0.128,0
34.547,35.72,0.0018234,2.569,0.1,0.128,2.5714
34.828,35.72,2.4507e-06,-0.0034343,0.1,0.128,0
35.109,35.72,0.0020878,2.7833,0.1,0.128,2.7857
35.391,35.72,1.8422e-06,-0.0033806,0.1,0.128,0
35.672,35.72,0.0023309,2.9977,0.1,0.128,3
36.563,35.73,2.0918e-06,-0.0036277,0.2,0.128,0
36.828,35.73,1.6211e-06,-0.0036243,0.2,0.128,0
37.078,35.73,1.1449e-06,-0.0036301,0.2,0.128,0
37.359,35.73,7.2935e-05,0.2109,0.2,0.128,0.21429
37.641,35.73,1.6263e-06,-0.0036109,0.2,0.128,0
37.922,35.73,0.00020369,0.42546,0.2,0.128,0.42857
38.203,35.73,2.0182e-06,-0.0035992,0.2,0.128,0
38.484,35.73,0.00037189,0.64,0.2,0.128,0.64286
38.766,35.73,2.0433e-06,-0.0035622,0.2,0.128,0
39.047,35.73,0.00055683,0.85437,0.2,0.128,0.85714
39.328,35.73,2.1707e-06,-0.003558,0.2,0.128,0
39.609,35.73,0.00075916,1.0687,0.2,0.128,1.0714
39.891,35.73,2.8055e-06,-0.0035358,0.2,0.128,0
40.172,35.73,0.00098376,1.283,0.2,0.128,1.2857
40.453,35.73,2.1353e-06,-0.0035246,0.2,0.128,0
40.734,35.73,0.0012244,1.4973,0.2,0.128,1.5
41.016,35.73,1.3352e-06,-0.0035239,0.2,0.128,0
41.297,35.73,0.0014814,1.7115,0.2,0.128,1.7143
41.578,35.73,1.9658e-06,-0.0035025,0.2,0.128,0
41.859,35.73,0.0017518,1.9259,0.2,0.128,1.9286
42.141,35.73,1.8325e-06,-0.003504,0.2,0.128,0
42.422,35.73,0.002042,2.1403,0.2,0.128,2.1429
42.703,35.73,2.2078e-06,-0.0034715,0.2,0.128,0
42.984,35.73,0.0023435,2.3546,0.2,0.128,2.3571
43.266,35.73,2.14e-06,-0.0034497,0.2,0.128,0
43.563,35.73,0.0026551,2.569,0.2,0.128,2.5714
43.859,35.73,1.6617e-06,-0.0034337,0.2,0.128,0
44.141,35.73,0.002986,2.7833,0.2,0.128,2.7857
44.438,35.73,2.7889e-06,-0.0034534,0.2,0.128,0
44.734,35.73,0.0033128,2.9977,0.2,0.128,3
45.625,35.74,2.212e-06,-0.0036063,0.3,0.128,0
45.891,35.74,1.2372e-06,-0.003604,0.3,0.128,0
46.141,35.74,8.1126e-07,-0.0036101,0.3,0.128,0
46.422,35.74,0.00011928,0.21088,0.3,0.128,0.21429
46.703,35.74,1.3318e-06,-0.0035992,0.3,0.128,0
46.984,35.74,0.00030361,0.42547,0.3,0.128,0.42857
47.266,35.74,1.6187e-06,-0.0035867,0.3,0.128,0
47.547,35.74,0.00052308,0.64,0.3,0.128,0.64286
47.828,35.74,2.4143e-06,-0.0035738,0.3,0.128,0
48.109,35.74,0.00076101,0.85432,0.3,0.128,0.85714
48.391,35.74,2.151e-06,-0.0035523,0.3,0.128,0
48.672,35.74,0.0010154,1.0687,0.3,0.128,1.0714
48.953,35.74,2.09e-06,-0.0035187,0.3,0.128,0
49.234,35.74,0.0012866,1.283,0.3,0.128,1.2857
49.516,35.74,9.9382e-07,-0.0035155,0.3,0.128,0
49.797,35.74,0.0015774,1.4972,0.3,0.128,1.5
50.078,35.74,2.2029e-06,-0.0035067,0.3,0.128,0
50.359,35.74,0.001883,1.7115,0.3,0.128,1.7143
50.641,35.74,1.354e-06,-0.0034886,0.3,0.128,0
50.922,35.74,0.002209,1.9259,0.3,0.128,1.9286
51.203,35.74,1.5253e-06,-0.003465,0.3,0.128,0
51.484,35.74,0.0025416,2.1402,0.3,0.128,2.1429
51.766,35.74,1.795e-06,-0.0034598,0.3,0.128,0
52.047,35.74,0.0028864,2.3546,0.3,0.128,2.3571
52.328,35.74,2.0362e-06,-0.0034532,0.3,0.128,0
52.609,35.74,0.003247,2.5689,0.3,0.128,2.5714
52.891,35.74,1.7011e-06,-0.0034418,0.3,0.128,0
53.172,35.74,0.003627,2.7832,0.3,0.128,2.7857
