Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),HeatingCurr(A),SampCurr_order(A)0.453,3.1399e-06,0.0037811,0,0.13,0
30.422,37.49,5.3036e-06,0.0037299,0.3,0.13,0
30.703,37.49,5.1382e-06,-1.3893,0.3,0.13,1.3929
30.985,37.49,5.4788e-06,0.0037101,0.3,0.13,0
31.266,37.49,4.1728e-06,-1.6677,0.3,0.13,1.6714
31.547,37.49,5.1659e-06,0.0036996,0.3,0.13,0
31.828,37.49,4.1871e-06,-1.9463,0.3,0.13,1.95
32.11,37.49,5.211e-06,0.0036818,0.3,0.13,0
32.391,37.49,4.4741e-06,-2.2248,0.3,0.13,2.2286
32.672,37.49,5.5921e-06,0.0036602,0.3,0.13,0
32.953,37.49,4.5084e-06,-2.5033,0.3,0.13,2.5071
33.235,37.49,4.9622e-06,0.0036568,0.3,0.13,0
33.516,37.49,5.0558e-06,-2.7819,0.3,0.13,2.7857
33.797,37.49,6.0823e-06,0.0036457,0.3,0.13,0
34.078,37.49,4.8003e-06,-3.0604,0.3,0.13,3.0643
34.36,37.49,5.506e-06,0.0035349,0.3,0.13,0
34.641,37.49,4.5111e-06,-3.3389,0.3,0.13,3.3429
34.922,37.49,5.7535e-06,0.0035475,0.3,0.13,0
35.203,37.49,3.2308e-06,-3.6173,0.3,0.13,3.6214
35.485,37.49,6.7601e-06,0.0035542,0.3,0.13,0
35.766,37.49,1.8816e-06,-3.8956,0.3,0.13,3.9
36.688,37.48,8.1803e-06,0.0037945,0.6,0.13,0
36.953,37.48,8.71e-06,0.003816,0.6,0.13,0
37.203,37.48,8.3801e-06,0.003812,0.6,0.13,0
37.485,37.48,7.4261e-06,-0.27497,0.6,0.13,0.27857
37.766,37.48,7.8697e-06,0.0037898,0.6,0.13,0
38.047,37.48,7.8168e-06,-0.55382,0.6,0.13,0.55714
38.328,37.48,6.7817e-06,0.0037563,0.6,0.13,0
38.61,37.48,6.3365e-06,-0.83234,0.6,0.13,0.83571
38.891,37.48,6.4142e-06,0.0037464,0.6,0.13,0
39.172,37.48,5.6651e-06,-1.1109,0.6,0.13,1.1143
39.453,37.48,5.938e-06,0.0037376,0.6,0.13,0
39.735,37.48,5.9083e-06,-1.3892,0.6,0.13,1.3929
40.016,37.48,5.2671e-06,0.0037024,0.6,0.13,0
40.297,37.48,5.0392e-06,-1.6677,0.6,0.13,1.6714
40.578,37.48,5.2699e-06,0.0036652,0.6,0.13,0
40.86,37.48,4.9364e-06,-1.9462,0.6,0.13,1.95
41.141,37.48,5.755e-06,0.0036635,0.6,0.13,0
41.422,37.48,4.8944e-06,-2.2247,0.6,0.13,2.2286
41.703,37.48,4.8146e-06,0.0036508,0.6,0.13,0
41.985,37.48,4.9458e-06,-2.5032,0.6,0.13,2.5071
42.266,37.48,5.077e-06,0.0036331,0.6,0.13,0
42.547,37.48,4.7548e-06,-2.7818,0.6,0.13,2.7857
42.828,37.48,5.865e-06,0.0036056,0.6,0.13,0
43.11,37.48,5.363e-06,-3.0603,0.6,0.13,3.0643
43.391,37.48,5.8713e-06,0.0036011,0.6,0.13,0
43.672,37.48,4.3201e-06,-3.3388,0.6,0.13,3.3429
43.953,37.48,6.3203e-06,0.0035939,0.6,0.13,0
44.235,37.48,3.2695e-06,-3.6171,0.6,0.13,3.6214
44.516,37.48,7.3695e-06,0.0036029,0.6,0.13,0
