Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A)
0.265,111.3,0.00059097,0.03,0
1.14,111.3,0.00059063,0.03,0
1.906,111.3,0.00059107,0.03,0
2.734,111.3,0.00059017,0.03,0
3.578,111.3,0.00058985,0.03,0
4.375,111.3,0.00059008,0.03,0
5.203,111.3,0.0005908,0.03,0
6,111.3,0.00059014,0.03,0
6.828,111.3,0.00058983,0.03,0
7.672,111.3,0.00059059,0.03,0
8.468,111.3,0.00059097,0.03,0
9.265,111.3,0.00059155,0.03,0
10.093,111.3,0.00059153,0.03,0
10.89,111.3,0.00059121,0.03,0
11.734,111.3,0.00059,0.03,0
12.531,111.3,0.0005905,0.03,0
13.359,111.3,0.00059022,0.03,0
14.156,111.3,0.00059098,0.03,0
14.984,111.3,0.00059079,0.03,0
15.781,111.3,0.00059067,0.03,0
16.578,111.3,0.0005902,0.03,0
17.422,111.3,0.00059041,0.03,0
18.218,111.3,0.00059077,0.03,0
19.047,111.3,0.00059148,0.03,0
19.843,111.3,0.00059014,0.03,0
20.64,111.3,0.00059133,0.03,0
21.437,111.3,0.00059093,0.03,0
22.281,111.3,0.00059123,0.03,0
23.078,111.3,0.0005917,0.03,0
23.875,111.3,0.00059074,0.03,0
24.703,111.3,0.00059151,0.03,0
25.5,111.3,0.00059142,0.03,0
26.297,111.3,0.00059144,0.03,0
27.125,111.3,0.00059224,0.03,0
27.922,111.3,0.0005919,0.03,0
28.765,111.3,0.00059077,0.03,0
29.562,111.3,0.00059104,0.03,0
30.359,111.3,0.00059179,0.03,0
31.187,111.3,0.00059198,0.03,0
31.984,111.3,0.0005927,0.03,0
32.828,111.3,0.00059115,0.03,0
33.625,111.3,0.0005917,0.03,0
34.453,111.3,0.0005915,0.03,0
35.25,111.3,0.00059189,0.03,0
36.078,111.3,0.00059241,0.03,0
36.875,111.3,0.00059238,0.03,0
37.672,111.3,0.00059195,0.03,0
38.515,111.2,0.00059148,0.03,0
39.312,111.2,0.00059162,0.03,0
40.109,111.2,0.00059205,0.03,0
40.937,111.2,0.00059114,0.03,0
41.734,111.2,0.00059135,0.03,0
42.531,111.2,0.00059171,0.03,0
43.375,111.2,0.00059113,0.03,0
44.203,111.2,0.00059181,0.03,0
45,111.2,0.00059054,0.03,0
45.797,111.2,0.00059205,0.03,0
46.625,111.1,0.0005905,0.03,0
47.422,111.1,0.00059118,0.03,0
48.218,111,0.00059116,0.03,0
49.062,111,0.00058991,0.03,0
49.859,111,0.00058958,0.03,0
50.687,111,0.0005903,0.03,0
51.484,110.9,0.00059085,0.03,0
52.281,110.9,0.00058895,0.03,0
53.125,110.9,0.00058886,0.03,0
53.843,110.9,0.00058966,0.03,0
54.547,110.9,0.00058554,0.03,0
55.265,110.8,0.00054481,0.03,0
56.062,110.8,0.00058286,0.03,0
56.859,110.8,0.00058694,0.03,0
57.656,110.8,0.00058794,0.03,0
58.453,110.7,0.00059032,0.03,0
59.281,110.7,0.00059172,0.03,0
60.078,110.7,0.00058519,0.03,0
60.875,110.5,0.00058405,0.03,0
61.718,110.5,0.00059001,0.03,0
62.515,110.4,0.00059031,0.03,0
63.343,110.4,0.000591,0.03,0
64.156,110.4,0.00059072,0.03,0
64.937,110.3,0.00059129,0.03,0
65.781,110.3,0.00059006,0.03,0
66.562,110.3,0.00059012,0.03,0
67.359,110.3,0.00059148,0.03,0
68.203,110.2,0.00059115,0.03,0
69,110.2,0.00059023,0.03,0
69.828,110.2,0.00058915,0.03,0
70.625,110.1,0.0005893,0.03,0
71.343,110.1,0.00059036,0.03,0
72.062,110,0.00058928,0.03,0
72.859,110,0.00058901,0.03,0
73.656,110,0.00059002,0.03,0
74.5,109.9,0.00058828,0.03,0
75.281,109.9,0.0005889,0.03,0
76.078,109.8,0.00058764,0.03,0
76.875,109.8,0.00058745,0.03,0
77.718,109.8,0.0005886,0.03,0
78.437,109.7,0.00058788,0.03,0
79.156,109.7,0.00058726,0.03,0
79.953,109.7,0.0005873,0.03,0
80.781,109.6,0.00058692,0.03,0
81.578,109.5,0.00058751,0.03,0
82.422,109.5,0.00058657,0.03,0
83.218,109.4,0.00058779,0.03,0
84.047,109.4,0.00058646,0.03,0
84.922,109.3,0.00058642,0.03,0
85.672,109.3,0.00058717,0.03,0
86.515,109.3,0.00058706,0.03,0
87.343,109.2,0.00058789,0.03,0
88.14,109.2,0.00058768,0.03,0
88.984,109.2,0.00058744,0.03,0
89.781,109.1,0.0005875,0.03,0
90.609,109,0.00058746,0.03,0
91.406,108.9,0.0005867,0.03,0
92.203,108.9,0.00058584,0.03,0
92.922,108.9,0.00058514,0.03,0
93.64,108.9,0.00058519,0.03,0
94.437,108.8,0.00058498,0.03,0
95.265,108.8,0.00058516,0.03,0
96.062,108.7,0.00058538,0.03,0
