22.5,0.154,43.36,0,0,4
,,,,1,7.2
,,,,2,10.9
,,,,3,14.5
,,,,4,18.6
,,,,5,22.3
,,,,6,25.8
,,,,7,29.1
,,,,30,114
,,,,60,228
,,,,100,382
,,,,300,1190
,,43.83,,1000,5000
